epoch,logged_pesq,logged_stoi,checkpoint_saved
20,2.6925,0.9264,True
40,2.7299,0.9327,True
60,2.7034,0.9198,True
80,2.6002,0.9162,True
100,2.6457,0.9174,True
120,2.6933,0.9279,True
140,2.7220,0.9301,True
160,2.7374,0.9300,True
180,2.6645,0.9300,True
200,2.5260,0.9165,True
220,2.8057,0.9331,True
240,2.7851,0.9352,True
260,2.7766,0.9317,True
280,2.7743,0.9260,True
300,2.7220,0.9249,True
320,2.6969,0.9187,True
340,2.6408,0.9115,True
360,2.8015,0.9271,True
380,2.8286,0.9339,True
400,2.8323,0.9333,True
420,2.8134,0.9319,True
440,2.8472,0.9369,True
460,2.8673,0.9369,True
480,2.8819,0.9369,True
500,2.8935,0.9367,True
